,id,name,NN ը/կ,"Հայտարարատուի անունը, ազգանունը, հայրանունը",Տրանսպորտի տեսակը,"Մակնիշը, սերիան",Թողարկման տարին,Նույնականացման համարը,"Գույքի սեփականատիրոջ անվանումը կամ անունը, ազգանունը, հայրանունը",Հայտարարատուի և սեփականատիրոջ միջև առկա կապի բնույթը
10,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103834,ՏԻԳՐԱՆ ԵՆՈՔՅԱՆ ԱՂՎԱՆԻ,Տվյալներ չկան,,,,,,,
11,https://registry.cpcarmenia.am/declaration/?id=1_1_1_101925,ԽԱՉԻԿ ՂԱԶԱՐՅԱՆ ԿԱՐԱՊԵՏԻ,1.,ԽԱՉԻԿ ՂԱԶԱՐՅԱՆ ԿԱՐԱՊԵՏԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,HYUNDAI Պաշտպանված,2010,Պաշտպանված,Պաշտպանված,Պաշտպանված
12,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102188,ՎԱՀԵ ԴՈԼՄԱԶՅԱՆ ԱՐՍԵՆԻ,Տվյալներ չկան,,,,,,,
13,https://registry.cpcarmenia.am/declaration/?id=1_1_2_101859,ԳԵՂԵՑԻԿ ԲԱԼՅԱՆ ԱՐԱՅԻԿԻ,Տվյալներ չկան,,,,,,,
14,https://registry.cpcarmenia.am/declaration/?id=1_1_2_102544,ԱԼՎԻՆԱ ՄԱՐՏԻՐՈՍՅԱՆ ՍՄԲԱՏԻ,Տվյալներ չկան,,,,,,,
15,https://registry.cpcarmenia.am/declaration/?id=1_1_2_102837,ԼԻԼԻԹ ԲԱԴԱԼՅԱՆ ՅՈՒՐԻԻ,Տվյալներ չկան,,,,,,,
16,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102747,ԼԻԼԻ ԴՐՄԵՅԱՆ ՄԱՄԻԿՈՆԻ,Տվյալներ չկան,,,,,,,
17,https://registry.cpcarmenia.am/declaration/?id=1_1_2_101848,ԶԱՐՈՒՀԻ ՍՈՒՎԱՐՅԱՆ ԿՈՆՍՏԱՆՏԻՆԻ,Տվյալներ չկան,,,,,,,
18,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102308,ԿԱՐԱՊԵՏ ԲԱԴԱԼՅԱՆ ՍԵՐՅՈԺԱՅԻ,Տվյալներ չկան,,,,,,,
19,https://registry.cpcarmenia.am/declaration/?id=1_1_2_102666,ՄԻԼԵՆԱ ՄԵՍՐՈՊՅԱՆ ՍԻՐԵԿԱՆԻ,Տվյալներ չկան,,,,,,,
