,id,Unnamed: 1,link,position,decl_title,decl_link,id,len,,Դ. ՀԱՅՏԱՐԱՐԱՏՈՒ ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ՇԱՀԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ
46,ՀԿ_05,5,http://cpcarmenia.am//hy/declarations-registry/user_id=5039/,ՀՀ ՀԱԿԱԿՈՌՈՒՊՑԻՈՆ ԿՈՄԻՏԵԻ ՔՆՆՉԱԿԱՆ ԵՐՐՈՐԴ ՎԱՐՉՈՒԹՅԱՆ ՊԵՏԻ ՏԵՂԱԿԱԼԻ ՊԱՇՏՈՆԱԿԱՏԱՐ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=84760/,ՀԿ_05,42,,տվյալ չկա
40,ՀԿ_04,5,http://cpcarmenia.am//hy/declarations-registry/user_id=3491/,ՀՀ ՀԱԿԱԿՈՌՈՒՊՑԻՈՆ ԿՈՄԻՏԵԻ ՆԵՐՔԻՆ ԱՆՎՏԱՆԳՈՒԹՅԱՆ ՎԱՐՉՈՒԹՅԱՆ ՀԱՏԿԱՊԵՍ ԿԱՐԵՎՈՐ ԳՈՐԾԵՐՈՎ ԱՎԱԳ ՔՆՆԻՉ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=91999/,ՀԿ_04,42,,տվյալ չկա
33,ՀԿ_03,4,http://cpcarmenia.am//hy/declarations-registry/user_id=3492/,ՀՀ ՀԱԿԱԿՈՌՈՒՊՑԻՈՆ ԿՈՄԻՏԵԻ ՔՆՆՉԱԿԱՆ ԵՐԿՐՈՐԴ ՎԱՐՉՈՒԹՅԱՆ ՊԵՏ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=94444/,ՀԿ_03,42,,տվյալ չկա
28,ՀԿ_02,2,http://cpcarmenia.am//hy/declarations-registry/user_id=20429/,ՀՀ ՀԱԿԱԿՈՌՈՒՊՑԻՈՆ ԿՈՄԻՏԵԻ ՆԱԽԱԳԱՀԻ ՕԳՆԱԿԱՆ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=87419/,ՀԿ_02,35,,շահերի բաժին չկա
297,ՀԴԴ_13,2,http://cpcarmenia.am//hy/declarations-registry/user_id=25453/,ՀՀ գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=87550/,ՀԴԴ_13,42,,տվյալ չկա
294,ՀԴԴ_12,6,http://cpcarmenia.am//hy/declarations-registry/user_id=4572/,Լոռու մարզի  դատախազի տեղակալ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=86311/,ՀԴԴ_12,42,,տվյալ չկա
287,ՀԴԴ_11,5,http://cpcarmenia.am//hy/declarations-registry/user_id=4574/,ՀՀ գլխավոր դատախազության հասարակական անվտանգության դեմ ուղղված հանցագործությունների գործերով վարչության ավագ դատախազ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=92329/,ՀԴԴ_11,42,,տվյալ չկա
279,ՀԴԴ_10,1,http://cpcarmenia.am//hy/declarations-registry/user_id=36139/,ՀՀ դատական դեպարտամենտի ղեկավարի առաջին տեղակալ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=100709/,ՀԴԴ_10,35,,շահերի բաժին չկա
277,ՀԴԴ_09,2,http://cpcarmenia.am//hy/declarations-registry/user_id=26615/,ՀՀ կադաստրի կոմիտեի ղեկավարի տեղակալ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=90921/,ՀԴԴ_09,42,,տվյալ չկա
272,ՀԴԴ_06,3,http://cpcarmenia.am//hy/declarations-registry/user_id=20427/,չեմ աշխատում,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=89665/,ՀԴԴ_06,35,,շահերի բաժին չկա
