,id,0,1,2,3,4,5,6,7,8,9,10
101,ՀԿ_06,,ԱՐՄԱՆ ՄԱՆՈՒՉԱՐՅԱՆ ԱՊԵՏՆԱԿԻ,Հողամաս,համատեղ սեփականություն,-,Հայաստանի Հանրապետություն ՍՅՈՒՆԻՔ ՏԵՂ,Պաշտպանված,Պաշտպանված Պաշտպանված,2003-04-07,Այլ,Այո
102,ՀԿ_06,,ԱՐՄԱՆ ՄԱՆՈՒՉԱՐՅԱՆ ԱՊԵՏՆԱԿԻ,"Բնակարանը` բազմաբնակարան բնակելի շենքում ֆիզիկական անձանց բնակության համար նախատեսված, իրավունքների պետական գրանցումն իրականացնող լիազոր մարմնում առանձին ծածկագրով գրանցված և համարակալված տարածքը,",համատեղ սեփականություն,-,Հայաստանի Հանրապետություն ԵՐԵՎԱՆ ԱՐԱԲԿԻՐ,Պաշտպանված,Պաշտպանված Պաշտպանված,2018-11-03,Գնում,Այո
103,ՀԿ_05,Տվյալներ չկան,,,,,,,,,,
104,ՀԿ_04,,ԱՐՇԱԼՈՒՅՍ ՄԻՆԱՍՅԱՆ ԿԱՌԼԵՆԻ,"Անհատական բնակելի տունը` հողամասի վրա կառուցված, իր տնտեսական շինություններով",բաժնային սեփականություն,1/2,Հայաստանի Հանրապետություն ԵՐԵՎԱՆ ՔԱՆԱՔԵՌ-ԶԵՅԹՈՒՆ,Պաշտպանված,Պաշտպանված Պաշտպանված,2010-05-13,Ժառանգություն,Այո
105,ՀԿ_04,,ԱՐՇԱԼՈՒՅՍ ՄԻՆԱՍՅԱՆ ԿԱՌԼԵՆԻ,"Բազմաբնակարան շենքի ոչ բնակելի տարածքը (բազմաբնակարան շենքում բնակարան, հասարակական, արտադրական նշանակության շինություն չհամարվող, իրավունքների պետական գրանցումն իրականացնող լիազորված մարմնում առանձին ծածկագրով գրանցված և համարակալված տարածքը",բաժնային սեփականություն,1/2,Հայաստանի Հանրապետություն ԵՐԵՎԱՆ ԱՐԱԲԿԻՐ,Պաշտպանված,Պաշտպանված Պաշտպանված,2021-06-14,Ժառանգություն,Այո
106,ՀԿ_04,,ԱՐՇԱԼՈՒՅՍ ՄԻՆԱՍՅԱՆ ԿԱՌԼԵՆԻ,Հողամաս,բաժնային սեփականություն,1/2,Հայաստանի Հանրապետություն ԿՈՏԱՅՔ ՆՈՒՌՆՈՒՍ,Պաշտպանված,Պաշտպանված Պաշտպանված,2021-06-14,Ժառանգություն,Այո
107,ՀԿ_03,,ԱՇՈՏ ՕՀԱՆՅԱՆ ԱՐՄԵՆԻ,"Բնակարանը` բազմաբնակարան բնակելի շենքում ֆիզիկական անձանց բնակության համար նախատեսված, իրավունքների պետական գրանցումն իրականացնող լիազոր մարմնում առանձին ծածկագրով գրանցված և համարակալված տարածքը,",համատեղ սեփականություն,-,Հայաստանի Հանրապետություն ԵՐԵՎԱՆ ԴԱՎԹԱՇԵՆ,Պաշտպանված,Պաշտպանված Պաշտպանված,2021-09-17,Այլ,Այո
108,ՀԿ_03,,ԱՇՈՏ ՕՀԱՆՅԱՆ ԱՐՄԵՆԻ,"Բնակարանը` բազմաբնակարան բնակելի շենքում ֆիզիկական անձանց բնակության համար նախատեսված, իրավունքների պետական գրանցումն իրականացնող լիազոր մարմնում առանձին ծածկագրով գրանցված և համարակալված տարածքը,",համատեղ սեփականություն,-,Հայաստանի Հանրապետություն ԵՐԵՎԱՆ ԱՐԱԲԿԻՐ,Պաշտպանված,Պաշտպանված Պաշտպանված,2019-03-29,Գնում,Այո
109,ՀԿ_02,Տվյալներ չկան,,,,,,,,,,
110,ՀԴԴ_13,Տվյալներ չկան,,,,,,,,,,
