,,link,position,decl_title,decl_link
ՀԿ_05,1,http://cpcarmenia.am//hy/declarations-registry/user_id=5039/,ՀՀ  քննչական կոմիտեի  զինվորական քննչական գլխավոր վարչության հատկապես կարևոր գործերի քննության վարչության ՀԿԳ  քննիչ,Պաշտոնատար անձի տարեկան հայտարարագիր (2017),http://cpcarmenia.am/hy/declarations-registry/id=26200/
ՀԿ_05,2,http://cpcarmenia.am//hy/declarations-registry/user_id=5039/,ՀՀ քննչական կոմիտեի զինվորական քննչական գլխավոր վարչության հատկապես կարևոր գործերի քննության վարչության պետի տեղակալ,Պաշտոնատար անձի տարեկան հայտարարագիր (2018),http://cpcarmenia.am/hy/declarations-registry/id=37515/
ՀԿ_05,3,http://cpcarmenia.am//hy/declarations-registry/user_id=5039/,ՀՀ քննչական կոմիտեի զինվորական քննչական գլխավոր վարչության հատկապես կարևոր գործերի քննության վարչության պետի տեղակալ,Պաշտոնատար անձի տարեկան հայտարարագիր-- (2019),http://cpcarmenia.am/hy/declarations-registry/id=47816/
ՀԿ_05,4,http://cpcarmenia.am//hy/declarations-registry/user_id=5039/,"ՀՀ Հատուկ քննչական ծառայության կոռուպցիոն, կազմակերպված և պաշտոնեական հանցագործությունների քննության վարչության պետի տեղակալ",Պաշտոնատար անձի տարեկան հայտարարագիր-- (2020),http://cpcarmenia.am/hy/declarations-registry/id=68329/
ՀԿ_05,5,http://cpcarmenia.am//hy/declarations-registry/user_id=5039/,ՀՀ ՀԱԿԱԿՈՌՈՒՊՑԻՈՆ ԿՈՄԻՏԵԻ ՔՆՆՉԱԿԱՆ ԵՐՐՈՐԴ ՎԱՐՉՈՒԹՅԱՆ ՊԵՏԻ ՏԵՂԱԿԱԼԻ ՊԱՇՏՈՆԱԿԱՏԱՐ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=84760/
ՀԿ_06,0,http://cpcarmenia.am//hy/declarations-registry/user_id=4726/,ՀՀ քննչական կոմիտեի Սյունիքի մարզային քննչական վարչության ՀԿԳ քննիչ,Պաշտոնատար անձի պաշտոնը ստանձնելու հայտարարագիր  (2017),http://cpcarmenia.am/hy/declarations-registry/id=18152/
ՀԿ_06,1,http://cpcarmenia.am//hy/declarations-registry/user_id=4726/,ՀՀ քննչական կոմիտեի Սյունիքի մարզային քննչական վարչության ՀԿԳ քննիչ,Պաշտոնատար անձի տարեկան հայտարարագիր (2017),http://cpcarmenia.am/hy/declarations-registry/id=25444/
ՀԿ_06,2,http://cpcarmenia.am//hy/declarations-registry/user_id=4726/,ՀՀ քննչական կոմիտեի Սյունիքի մարզային քննչական վարչության Գորիսի քննչական բաժնի պետի տեղակալ,Պաշտոնատար անձի տարեկան հայտարարագիր (2018),http://cpcarmenia.am/hy/declarations-registry/id=41283/
ՀԿ_06,3,http://cpcarmenia.am//hy/declarations-registry/user_id=4726/,ՀՀ քննչական կոմիտեի Սյունիքի մարզային քննչական վարչության Գորիսի բաժնի պետի տեղակալ,Պաշտոնատար անձի տարեկան հայտարարագիր-- (2019),http://cpcarmenia.am/hy/declarations-registry/id=58211/
ՀԿ_06,4,http://cpcarmenia.am//hy/declarations-registry/user_id=4726/,"Հատուկ քննչական ծառայության կոռուպցիոն,կազմակերպված և պաշտոնեական հանցագործությունների քննության վարչության հատկապես կարևոր գործերի ավագ քննիչ",Պաշտոնատար անձի տարեկան հայտարարագիր-- (2020),http://cpcarmenia.am/hy/declarations-registry/id=72730/
ՀԿ_06,5,http://cpcarmenia.am//hy/declarations-registry/user_id=4726/,ՀՀ ՀԱԿԱԿՈՌՈՒՊՑԻՈՆ ԿՈՄԻՏԵԻ ՔՆՆՉԱԿԱՆ ԵՐՐՈՐԴ ՎԱՐՉՈՒԹՅԱՆ ՀԱՏԿԱՊԵՍ ԿԱՐԵՎՈՐ ԳՈՐԾԵՐՈՎ ԱՎԱԳ ՔՆՆԻՉ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=90380/
ՀԿ_07,0,http://cpcarmenia.am//hy/declarations-registry/user_id=5659/,ՀՀ քննչական կոմիտեի Երևան քաղաքի քննչական վարչության Երևան քաղաքի Կենտրոն և Նորք-Մարաշ վարչական շրջանների քննչական բաժնի ավագ քննիչ,Պաշտոնատար անձի պաշտոնը ստանձնելու հայտարարագիր  (2017),http://cpcarmenia.am/hy/declarations-registry/id=17020/
ՀԿ_07,1,http://cpcarmenia.am//hy/declarations-registry/user_id=5659/,ՀՀ քննչական կոմիտեի Երևան քաղաքի քննչական վարչության Երևան քաղաքի Կենտրոն և Նորք-Մարաշ վարչական շրջանների քննչական բաժնի ավագ քննիչ,Պաշտոնատար անձի տարեկան հայտարարագիր (2017),http://cpcarmenia.am/hy/declarations-registry/id=27695/
ՀԿ_07,2,http://cpcarmenia.am//hy/declarations-registry/user_id=5659/,ՀՀ քննչական կոմիտեի հատկապես կարևոր գործերի քննության գլխավոր վարչության ընդհանուր բնույթի և ընտրական հանցագործությունների քննության վարչության ՀԿԳ ավագ քննիչ,Պաշտոնատար անձի տարեկան հայտարարագիր (2018),http://cpcarmenia.am/hy/declarations-registry/id=36179/
ՀԿ_07,3,http://cpcarmenia.am//hy/declarations-registry/user_id=5659/,ՀՀ քննչական կոմիտեի հատկապես կարևոր գործերի քննության գլխավոր վարչության ընդհանուր բնույթի և ընտրական հանցագործությունների քննության վարչության ՀԿԳ ավագ քննիչ,Պաշտոնատար անձի տարեկան հայտարարագիր-- (2019),http://cpcarmenia.am/hy/declarations-registry/id=48463/
ՀԿ_07,4,http://cpcarmenia.am//hy/declarations-registry/user_id=5659/,ՀՀ քննչական կոմիտեի հատկապես կարևոր գործերի քննության գլխավոր վարչության ընդհանուր բնույթի և ընտրական հանցագործությունների  քննության վարչության պետի տեղակալ (ՀԿԳ ավագ քննիչ),Պաշտոնատար անձի տարեկան հայտարարագիր-- (2020),http://cpcarmenia.am/hy/declarations-registry/id=65022/
ՀԿ_07,5,http://cpcarmenia.am//hy/declarations-registry/user_id=5659/,ՀՀ ՀԱԿԱԿՈՌՈՒՊՑԻՈՆ ԿՈՄԻՏԵԻ ՔՆՆՉԱԿԱՆ ԵՐՐՈՐԴ ՎԱՐՉՈՒԹՅԱՆ ՀԱՏԿԱՊԵՍ ԿԱՐԵՎՈՐ ԳՈՐԾԵՐՈՎ ՔՆՆԻՉ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=91723/
ՀԿ_08,0,http://cpcarmenia.am//hy/declarations-registry/user_id=13100/,ՀՀ քննչական կոմիտեի Արարատի մարզային քննչական վարչության Վեդիի քննչական բաժնի քննիչ,Պաշտոնատար անձի տարեկան հայտարարագիր (2017),http://cpcarmenia.am/hy/declarations-registry/id=29625/
ՀԿ_08,1,http://cpcarmenia.am//hy/declarations-registry/user_id=13100/,ՀՀ ՀԱԿԱԿՈՌՈՒՊՑԻՈՆ ԿՈՄԻՏԵԻ ՔՆՆՉԱԿԱՆ ԵՐՐՈՐԴ ՎԱՐՉՈՒԹՅԱՆ ՀԱՏԿԱՊԵՍ ԿԱՐԵՎՈՐ ԳՈՐԾԵՐՈՎ ՔՆՆԻՉ,Պաշտոնատար անձի պաշտոնեական պարտականություններն ստանձնելու հայտարարագիր--- (2022),http://cpcarmenia.am/hy/declarations-registry/id=101750/
ՀԿ_08,2,http://cpcarmenia.am//hy/declarations-registry/user_id=13100/,ՀՀ քննչական կոմիտեի Արարատի մարզային քննչական վարչության Վեդիի քննչական բաժնի քննիչ,Պաշտոնատար անձի պաշտոնը ստանձնելու հայտարարագիր  (2017),http://cpcarmenia.am/hy/declarations-registry/id=102120/
ՀԿ_08,3,http://cpcarmenia.am//hy/declarations-registry/user_id=13100/,ՀՀ քննչական կոմիտեի Արարատի մարզային քննչական վարչության Վեդիի քննչական բաժնի քննիչ,Պաշտոնատար անձի տարեկան հայտարարագիր (2018),http://cpcarmenia.am/hy/declarations-registry/id=102121/
ՀԿ_08,4,http://cpcarmenia.am//hy/declarations-registry/user_id=13100/,ՀՀ քննչական կոմիտեի Արարատի մարզային քննչական վարչության ավագ  քննիչ,Պաշտոնատար անձի տարեկան հայտարարագիր-- (2019),http://cpcarmenia.am/hy/declarations-registry/id=102123/
ՀԿ_08,5,http://cpcarmenia.am//hy/declarations-registry/user_id=13100/,ՀՀ քննչական կոմիտեի Արարատի մարզային քննչական վարչության ավագ  քննիչ,Պաշտոնատար անձի տարեկան հայտարարագիր-- (2020),http://cpcarmenia.am/hy/declarations-registry/id=102124/
ՀԿ_08,6,http://cpcarmenia.am//hy/declarations-registry/user_id=13100/,ՀՀ քննչական կոմիտեի զինվորական քննչական գլխավոր վարչության երրորդ կայազորային քննչական բաժնի ՀԿԳ քննիչ,Պաշտոնատար անձի պաշտոնեական պարտականություններն դադարեցնելու հայտարարագիր-- (2021),http://cpcarmenia.am/hy/declarations-registry/id=102125/
ՀԿ_09,0,http://cpcarmenia.am//hy/declarations-registry/user_id=3501/,ՀՀ հատուկ քննչական ծառայության խոշտանգումների և մարդու դեմ ուղղված հանցագործությունների քննության վարչության հատկապես կարևոր գործերի ավագ քննիչ,Պաշտոնատար անձի պաշտոնը ստանձնելու հայտարարագիր  (2017),http://cpcarmenia.am/hy/declarations-registry/id=16113/
ՀԿ_09,1,http://cpcarmenia.am//hy/declarations-registry/user_id=3501/,ՀՀ հատուկ քննչական ծառայության խոշտանգումների և մարդու դեմ ուղղված հանցագործությունների քննության վարչության հատկապես կարևոր գործերի ավագ քննիչ,Պաշտոնատար անձի տարեկան հայտարարագիր (2017),http://cpcarmenia.am/hy/declarations-registry/id=26570/
ՀԿ_09,2,http://cpcarmenia.am//hy/declarations-registry/user_id=3501/,Հատուկ քննչական ծառայության պետին առընթեր հատկապես կարևոր գործերի ավագ քննիչ,Պաշտոնատար անձի տարեկան հայտարարագիր (2018),http://cpcarmenia.am/hy/declarations-registry/id=39992/
ՀԿ_09,3,http://cpcarmenia.am//hy/declarations-registry/user_id=3501/,Հատուկ քննչական ծառայության պետին առընթեր հատկապես կարևոր գործերի ավագ քննիչ,Պաշտոնատար անձի տարեկան հայտարարագիր-- (2019),http://cpcarmenia.am/hy/declarations-registry/id=48804/
ՀԿ_09,4,http://cpcarmenia.am//hy/declarations-registry/user_id=3501/,Հատուկ քննչական ծառայության պետին առընթեր հատկապես կարևոր գործերի ավագ քննիչ,Պաշտոնատար անձի տարեկան հայտարարագիր-- (2020),http://cpcarmenia.am/hy/declarations-registry/id=73078/
ՀԿ_09,5,http://cpcarmenia.am//hy/declarations-registry/user_id=3501/,ՀՀ ՀԱԿԱԿՈՌՈՒՊՑԻՈՆ ԿՈՄԻՏԵԻ ՆԵՐՔԻՆ ԱՆՎՏԱՆԳՈՒԹՅԱՆ ՎԱՐՉՈՒԹՅԱՆ ՀԱՏԿԱՊԵՍ ԿԱՐԵՎՈՐ ԳՈՐԾԵՐՈՎ ԱՎԱԳ ՔՆՆԻՉ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=96363/
ՀԿ_10,0,http://cpcarmenia.am//hy/declarations-registry/user_id=42610/,ՀՀ ՀԱԿԱԿՈՌՈՒՊՑԻՈՆ ԿՈՄԻՏԵԻ ՆԵՐՔԻՆ ԱՆՎՏԱՆԳՈՒԹՅԱՆ ՎԱՐՉՈՒԹՅԱՆ ԱՎԱԳ ՔՆՆԻՉ,Պաշտոնատար անձի պաշտոնեական պարտականություններն ստանձնելու հայտարարագիր--- (2022),http://cpcarmenia.am/hy/declarations-registry/id=102008/
ՀԿ_11,0,http://cpcarmenia.am//hy/declarations-registry/user_id=15430/,ՀՀ ԿԱ ՊԵԿ Օպերատիվ հետախուզության վարչության 7-րդ բաժնի պետ,Պաշտոնատար անձի պաշտոնը ստանձնելու հայտարարագիր  (2018),http://cpcarmenia.am/hy/declarations-registry/id=32772/
ՀԿ_11,1,http://cpcarmenia.am//hy/declarations-registry/user_id=15430/,ՀՀ ՊԵԿ օպերատիվ հետախուզության վարչության ոլորտային թիվ 6 բաժնի պետ,Պաշտոնատար անձի տարեկան հայտարարագիր (2018),http://cpcarmenia.am/hy/declarations-registry/id=39560/
ՀԿ_11,2,http://cpcarmenia.am//hy/declarations-registry/user_id=15430/,ՀՀ ՊԵԿ հետաքննության և օպերատիվ-հետախուզության վարչության թիվ 1 /Երևան քաղաքի/ բաժնի պետի տեղակալ,Պաշտոնատար անձի պաշտոնեական պարտականություններն դադարեցնելու հայտարարագիր-- (2020),http://cpcarmenia.am/hy/declarations-registry/id=56673/
ՀԿ_11,3,http://cpcarmenia.am//hy/declarations-registry/user_id=15430/,ՀՀ ՊԵԿ հետաքննության և օպերատիվ-հետախուզության վարչության թիվ 1 /Երևան քաղաքի/ բաժնի պետի տեղակալ,Պաշտոնատար անձի տարեկան հայտարարագիր-- (2019),http://cpcarmenia.am/hy/declarations-registry/id=56734/
ՀԿ_11,4,http://cpcarmenia.am//hy/declarations-registry/user_id=15430/,ՀՀ հատուկ քննչական ծառայության գլխավոր քարտուղար,Պաշտոնատար անձի պաշտոնեական պարտականություններն ստանձնելու հայտարարագիր-- (2020),http://cpcarmenia.am/hy/declarations-registry/id=62066/
ՀԿ_11,5,http://cpcarmenia.am//hy/declarations-registry/user_id=15430/,ՀՀ հատուկ քննչական ծառայության գլխավոր քարտուղար,Պաշտոնատար անձի տարեկան հայտարարագիր-- (2020),http://cpcarmenia.am/hy/declarations-registry/id=72059/
ՀԿ_11,6,http://cpcarmenia.am//hy/declarations-registry/user_id=15430/,ՀՀ ՀԱԿԱԿՈՌՈՒՊՑԻՈՆ ԿՈՄԻՏԵԻ ԳԼԽԱՎՈՐ ՔԱՐՏՈՒՂԱՐ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=90126/
ՀԿ_12,0,http://cpcarmenia.am//hy/declarations-registry/user_id=20428/,Հատուկ քննչական ծառայության պետի ավագ օգնական,Պաշտոնատար անձի տարեկան հայտարարագիր-- (2019),http://cpcarmenia.am/hy/declarations-registry/id=49841/
